Institute ID,Institute Name,TLR,RPC,GO,OI,PERCEPTION,City,State,Score,Rank
NIRF-ENGG-INF-77,"Indian Institute Of Technology, Madras",88.26,94.02,81.81,86.11,98,Chennai,Tamil Nadu,89.41,1
NIRF-ENGG-INF-312,"Indian Institute Of Technology, Bombay",85.93,94.14,84.97,74.84,99,Bombay,Maharashtra,87.66,2
NIRF-ENGG-INF-300,"Indian Institute Of Technology, Kharagpur",76.23,92.68,83.95,78.05,97,Kharagpur,West Bengal,83.91,3
NIRF-ENGG-INF-79,"Indian Institute Of Technology, Delhi",80.27,91.62,74.72,66.17,98,New Delhi,Delhi,82.02,4
NIRF-ENGG-INF-228,"Indian Institute Of Technology, Kanpur",66.08,93.52,85.62,70.59,98,Kanpur,Uttar Pradesh,81.07,5
NIRF-ENGG-INF-78,"Indian Institute Of Technology, Roorkee",67.83,83.5,81.61,76.59,96,Roorkee,Uttarakhand,78.68,6
NIRF-ENGG-INF-345,"Indian Institute Of Technology, Hyderabad",76.76,76.83,80.89,63.76,95,Hyderabad,Telangana,77.22,7
NIRF-ENGG-INF-298,"Indian Institute Of Technology, Gandhinagar",80.36,72.09,64.91,71.94,96,Ahmedabad,Gujarat,75.2,8
NIRF-ENGG-INF-340,"Indian Institute Of Technology, Ropar-Rupnagar",89.96,73.56,86.42,60.67,38,Rupnagar,Punjab,74.88,9
NIRF-ENGG-INF-344,"Indian Institute Of Technology, Patna",79.8,68.29,74.13,68.78,93,Patna,Bihar,74.68,10
NIRF-ENGG-INF-299,"Indian Institute Of Technology, North Guwahati",71.92,78.66,71.82,65.62,94,Guwahati,Assam,74.62,11
NIRF-ENGG-INF-370,"National Institute Of Technology, Tiruchirappalli",56.99,80.37,81.5,79.5,92,Tiruchirappalli,Tamil Nadu,74.45,12
NIRF-ENGG-768,Vellore Institute Of Technology,66.95,74.72,77.38,77.11,91,Vellore,Tamil Nadu,74.4,13
NIRF-ENGG-INF-423,"Indian Institute Of Technology (Banaras Hindu University), Varanasi",59.08,80.63,96.8,56.73,96,Varanasi,Uttar Pradesh,74.39,14
NIRF-ENGG-INF-373,Sardar Vallabhbhai National Institute Of Technology,59.02,85.24,78.43,68.81,83,Surat,Gujarat,73.13,15
NIRF-ENGG-INF-346,"Indian Institute Of Technology, Indore",86.75,75.78,89.85,39.23,46,Indore,Madhya Pradesh,72,16
NIRF-ENGG-1-2451694143,Birla Institute Of Technology,55.39,81.06,82.47,65.5,90,RANCHI,Jharkhand,71.8,17
NIRF-ENGG-INF-225,"Visvesvaraya National Institute Of Technology, Nagpur (Deemed University)-Nagpur",59.98,73.64,69.05,82.7,85,Nagpur,Maharashtra,71.29,18
NIRF-ENGG-INF-140,"National Institute Of Technology, Rourkela-Rourkela",60.78,75.69,81.49,73.21,74,Rourkela,Odisha,70.8,19
NIRF-ENGG-INF-NEW11,"Indian Institute Of Engineering Science And Technology, Shibpur",57.76,83.07,76.07,59.5,87,Howrah,West Bengal,70.35,20A
NIRF-ENGG-INF-338,"Indian Institute Of Technology, Mandi",85.83,70.35,81.05,47.29,43,Mandi,Himachal Pradesh,70.32,20
NIRF-ENGG-1-2453839794,"College Of Engineering, Pune",58.61,66.4,82.92,74.67,95,PUNE,Maharashtra,69.71,21
NIRF-ENGG-INF-363,"National Institute Of Technology, Karnataka-Mangalore",60.26,67.86,77.29,70.22,88,Mangalore,Karnataka,68.95,22
NIRF-ENGG-INF-357,Motilal Nehru National Institute Of Technology,54.63,72.07,74.08,75.04,82,Allahabad,Uttar Pradesh,67.94,23
NIRF-ENGG-1-2451585489,Psg College Of Technology-Coimbatore,56.72,64.67,77.3,72.1,94,COIMBATORE,Tamil Nadu,67.8,24
NIRF-ENGG-INF-301,"Indian Institute Of Technology, Jodhpur",73.02,66.41,60.71,60.11,86,Jodhpur,Rajasthan,67.68,25
NIRF-ENGG-INF-296,"Indian Institute Of Technology, Bhubaneswar",67.4,75.73,61.06,51.57,85,Bhubaneswar,Odisha,67.58,26
NIRF-ENGG-1-2454118012,Thapar University-Patiala,49.43,78.7,77.69,64.58,83,PATIALA,Punjab,67.51,27
NIRF-ENGG-INF-247,"National Institute Of Technology, Warangal",58.2,71.82,75.41,61.2,82,Warangal,Telangana,67.12,28
NIRF-ENGG-1-2452436680,Thiagarajar College Of Engineering-Madurai,57.93,75.86,80.94,57.91,63,MADURAI,Tamil Nadu,66.51,29
NIRF-ENGG-INF-361,"National Institute Of Technology, Durgapur",49.24,79.62,65.86,66.15,78,Durgapur,West Bengal,65.4,30
NIRF-ENGG-1-2456108684,Amrita School Of Engineering,56.81,63.75,74.02,62.08,75,KARUNAGAPALLY,Kerala,63.94,31
NIRF-ENGG-620,Shanmugha Arts Science Technology & Research Academy (Sastra),60.21,65.55,81,58.4,51,Thanjavur,Tamil Nadu,63.77,31A
NIRF-ENGG-1-2452855119,Kalinga Institue Of Industrial Technology,60.63,73.91,83.55,70.31,1,BHUBANESWAR,Odisha,63.4,32
